firmware,protocol,pcap,total_requests,total_mem_ops,total_taint_mem_ops,total_reduction_pct,avg_reduction_pct,median_reduction_pct,min_reduction_pct,max_reduction_pct,stddev_reduction_pct,error
trendnet/FW_TV-IP121WN_1.2.2.zip,http,user_interaction_0.pcap,70,22033631052,260282024,98.82,98.94,98.82,98.10,99.80,0.48,
trendnet/FW_TV-IP121WN_1.2.2.zip,http,user_interaction_1.pcap,33,3496873896,18069551,99.48,99.50,99.71,98.15,99.80,0.40,
trendnet/FW_TV-IP121WN_1.2.2.zip,http,user_interaction_2.pcap,75,23835521460,168194289,99.29,99.40,99.43,98.06,99.74,0.34,
trendnet/FW_TV-IP121WN_1.2.2.zip,http,user_interaction_3.pcap,99,32757665964,379158104,98.84,99.07,99.02,98.04,99.72,0.42,
trendnet/FW_TV-IP651WI_V1_1.07.01.zip,http,user_interaction_0.pcap,8,1357613540,9495861,99.30,99.40,99.41,99.01,99.79,0.23,
trendnet/FW_TV-IP651WI_V1_1.07.01.zip,http,user_interaction_1.pcap,9,1397331160,11324728,99.19,99.31,99.34,98.87,99.68,0.26,
trendnet/FW_TV-IP651WI_V1_1.07.01.zip,http,user_interaction_2.pcap,8,1300403020,9073207,99.30,99.37,99.31,99.22,99.69,0.14,
trendnet/FW_TV-IP651WI_V1_1.07.01.zip,http,user_interaction_3.pcap,9,1333102464,10950680,99.18,99.27,99.30,98.87,99.67,0.22,
trendnet/TEW-652BRU_1.00b12.zip,http,user_interaction_0.pcap,32,6874381088,4701112,99.93,99.88,99.93,99.12,99.94,0.19,
trendnet/TEW-652BRU_1.00b12.zip,http,user_interaction_1.pcap,35,8215007180,5360007,99.93,99.88,99.93,99.14,99.94,0.17,
trendnet/TEW-652BRU_1.00b12.zip,http,user_interaction_2.pcap,40,10622654108,7025448,99.93,99.89,99.93,99.14,99.94,0.17,
trendnet/TEW-652BRU_1.00b12.zip,http,user_interaction_3.pcap,24,3838926616,3190230,99.92,99.85,99.92,99.11,99.93,0.21,
